UniqueCount	AmbigCount
2	14
0	1
0	1304
1	0
0	18
0	11
0	0
0	4
0	4
0	0
0	0
0	0
0	0
0	0
21	100
0	65
0	7
2	11
0	14
0	6
19	15
0	361
0	77
0	95
544	127
0	76
6	467
0	3
0	0
20	17
0	0
45	1369
2	436
5	441
3	316
0	284
0	239
140	60
0	108
0	0
0	0
0	0
0	8
0	12
0	4
0	15
0	0
0	1
6	47
8	68
0	15
0	23
0	1
43	538
130	43
0	527
0	404
0	492
0	342
0	390
5	307
1	188
1	388
0	328
21	108
0	133
17	63
46	84
2	121
0	421
47	142
0	14
0	3
0	19
0	0
0	0
0	16
0	17
14	11
0	14
0	14
0	15
0	0
36	3265
1000	9446
236	92546
2	0
21	2827
0	9
9822	19109
52	7523
0	0
0	13
0	114
0	16
0	25
0	1
402	3089
0	1
0	0
0	183
7	50
8	22
13	75
0	53
0	10
0	34
30	34
0	40
0	3
3	3
0	10
0	20
4	20
0	13
0	13
4	11
2	10
33	128
7	11
3	1
9	1
0	11
0	0
0	16
60	33
0	40
526	175
0	47
0	45
0	68
0	47
1	31
0	186
0	95
1	95
1	61
4	41
17	20
5	45
4	32
0	11
0	30
0	7
0	0
7	0
76	16
0	11
562	289
0	219
0	78
216	245
7	122
2	1142
10	1112
0	1058
0	1069
0	984
0	958
0	1084
10	886
0	1142
0	1015
33	683
6	19
3	235
19	85
11	117
25	2192
413	5758
226	5395
1	0
0	1722
82	134
108	505
0	505
46	119
28	170
53	20
1	21
0	20
1	22
0	1
1	7
0	4
0	2
0	4
1093	0
54	1912
133	1797
125	1886
7	1458
15	66
7	50
1	6
2	0
9	51
33	1218
0	1222
9	2
0	41
4	66
7	54
6	24
3	37
0	101
114	380
0	71
8	154
0	58
14	0
0	153
13	5
6	116
2	85
9	0
0	348
0	318
0	341
0	336
69	317
0	330
9	360
0	80
1	252
2	115
0	80
0	86
0	35
0	29
0	26
0	29
0	18
0	19
10	4
0	0
0	0
0	0
0	0
0	0
0	2
1	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
8	2494
0	2311
0	2218
167	1499
9	1344
0	963
1	426
1075	0
3	2
3	2
1	4
0	4
1	2
15	2
0	2158
0	2161
0	2047
4	1466
0	1524
0	1333
0	1308
21	444
0	1205
5	968
0	448
3	516
0	613
0	457
13	443
6	112
0	125
6	168
36	217
57	55
8	2
13	2
0	136
0	99
25	128
0	128
7	12
1	124
2	10
3	34
7	880
12	838
12	600
0	553
3	27
0	0
8	78
3	112
4	31
73	185
3	93
35	58
0	69
2	1
13	1061
9	510
11	276
0	656
48	717
0	519
0	878
0	845
0	571
0	590
0	855
0	187
0	778
0	593
106	551
7	474
0	564
0	874
0	603
0	557
0	737
0	777
0	260
0	178
13	160
0	642
0	199
0	0
0	290
0	220
0	182
0	177
0	463
0	47
5	66
0	333
2	200
0	224
0	300
0	269
1	274
0	19
2	12
0	234
34	0
3	489
0	533
170	602
0	396
1	201
0	240
1	205
0	129
0	118
0	100
0	57
17	27
8	202
303	253
7	95
1	0
0	2065
64	2117
0	1518
2	438
0	453
14	345
5	228
0	0
22	217
0	17
0	39
0	47
0	42
1	46
0	15
0	9
0	17
1	5
0	0
1	1970
46	1773
6	1773
4	1856
54	422
2	210
1	0
105	3285
6	3521
36	2160
8	4078
0	7169
3	4544
6	2842
25	5408
0	5722
0	2395
15	2939
0	1059
2	1162
14	929
8	1238
0	1694
64	440
6	648
28	244
5	406
0	284
0	850
21	916
0	82
0	78
0	870
12	917
1	399
99	2506
2	1582
191	2101
103	389
89	959
0	29
2	493
342	94
0	12
0	12
0	12
0	4
1	3
0	0
0	0
2	4
1	3
0	7
0	10
0	62
1	376
37	433
4	22
11	290
0	3
4	11
211	2380
175	2286
3	465
101	1522
76	1147
5	22
0	11
34	2655
0	2554
0	2491
0	2491
2	140
23	482
1	523
0	4
0	4
5	0
208	2611
4	1900
0	793
1005	328
103	18
0	0
450	0
263	1
0	303
2	303
0	280
0	306
13	311
0	294
0	303
4	50
0	34
1	307
0	47
0	270
0	68
1	33
0	45
0	308
2	217
0	25
0	288
5	266
1	16
2	13
4	258
4	35
8	21
0	19
6	68
0	103
0	86
3	73
0	39
0	30
1	16
1	5
5	14
2	15
0	11
0	8
0	9
0	8
0	6
0	5
185	2561
0	2448
0	2314
0	2309
14	2104
0	2019
6	2019
0	2020
0	650
45	2
14	477
0	3664
3	3654
49	1277
58	482
2	1
0	2
0	15
0	1731
207	1609
0	561
4	1402
0	1597
0	1438
0	1632
0	1709
0	1596
0	1726
0	1578
48	120
0	257
0	114
0	8
0	317
0	31
0	99
0	373
4	338
7	252
2	76
1	32
4	28
13	4
19	10
9	446
34	108
5	438
1	1
0	2
1	2978
3	2890
12	2658
13	1539
10	69
2	620
5	405
0	263
1	576
0	321
13	267
0	448
54	642
2	534
5	529
18	304
0	0
60	13278
1	12161
0	13708
60	2279
2	4015
11	2013
12	2770
0	1785
0	122
0	655
11	0
0	0
0	0
0	0
0	0
0	74
0	67
0	18
2	24
4	13
0	2
3	6
0	0
0	0
0	4
10	30
0	6
0	6
4	15
2	0
2	2
0	38
0	21
0	20
0	28
0	34
5	29
1	9
0	37
0	36
0	25
0	0
0	38
0	16
0	12
2	25
0	14
0	13
0	2
0	20
0	0
1	0
1	934
0	176
3	64
0	37
0	37
0	44
0	796
2	76
0	739
0	138
0	188
0	142
0	188
0	142
0	221
0	215
0	163
1	112
0	81
1	176
0	48
8	8
0	713
0	181
2	576
1	486
2	92
18	1
8	1
1	327
8	331
6	546
0	596
0	427
299	599
0	360
0	544
1	541
3	555
63	519
1	300
0	595
0	1
3	1
5	0
4790	332
0	1
0	113
31	219
2	124
1	0
1	91
68	9
0	9
16	122
0	12
5	1
36	51
0	23
69	81
0	91
