UniqueCount	AmbigCount
1	2
0	0
2	1424
0	0
1	16
0	12
0	0
0	3
0	2
0	0
0	1
0	0
0	0
0	0
26	95
0	64
0	8
1	5
0	18
0	2
19	12
0	381
0	68
0	89
417	118
1	78
11	415
1	0
0	0
5	16
0	0
45	1492
3	453
6	471
1	360
0	328
0	274
112	71
0	111
0	0
0	0
0	0
0	4
0	11
1	1
0	13
0	0
0	2
12	53
8	57
0	13
0	16
0	0
49	591
117	33
0	513
0	384
1	446
0	350
0	398
5	288
1	180
0	374
0	329
33	98
0	126
9	86
40	73
3	107
0	430
39	128
3	3
0	2
0	18
0	0
0	0
0	5
0	6
16	15
0	6
1	5
0	13
0	0
49	3688
883	9359
239	110873
3	0
18	2504
2	9
7910	16048
61	8104
0	0
0	8
0	130
0	12
0	20
0	1
400	2940
0	0
0	0
0	149
3	38
3	23
11	63
0	56
0	2
0	19
24	19
0	35
0	0
11	0
0	2
0	4
1	4
1	4
0	4
1	1
1	4
37	113
4	7
3	2
1	0
0	7
0	1
0	22
57	30
1	32
547	163
0	52
6	53
2	75
0	58
2	34
0	183
0	101
3	84
2	64
2	32
20	31
5	43
3	51
1	24
0	47
0	7
0	0
17	0
79	10
2	6
443	200
0	144
0	63
216	269
2	145
1	1307
13	1271
0	1195
0	1212
2	1099
0	1116
0	1234
4	1011
0	1297
0	1155
51	821
5	16
3	271
23	108
19	125
13	2394
419	6122
234	5738
1	0
1	1755
86	163
131	429
0	446
50	122
19	154
58	13
0	9
0	9
2	10
0	1
0	2
0	4
0	2
0	4
1265	0
74	1962
142	1835
153	1921
4	1511
17	73
7	54
0	3
4	0
12	61
81	1940
0	1942
7	5
0	71
8	105
6	62
2	28
8	74
0	157
93	572
0	102
7	150
1	51
27	0
0	150
25	3
7	100
2	91
8	0
0	330
0	316
0	323
0	326
62	295
0	312
3	333
0	84
6	252
3	132
0	86
0	84
0	37
1	28
0	27
0	24
0	13
3	8
5	6
0	0
0	0
0	0
0	0
1	0
0	5
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
1	0
0	0
0	0
0	0
0	0
6	2754
0	2530
0	2421
117	1569
12	1384
0	1105
0	466
1323	0
1	7
1	5
1	13
0	10
3	6
12	0
3	1890
0	1903
0	1805
6	1281
0	1368
0	1215
0	1189
23	420
0	1104
8	876
0	381
0	448
0	550
1	437
13	415
7	110
0	152
9	165
25	215
66	57
3	1
26	1
1	127
0	108
22	121
0	121
6	18
0	117
0	7
1	44
11	1020
15	993
18	704
0	655
5	31
0	0
5	117
0	149
3	36
71	203
3	98
36	53
0	54
1	3
12	958
13	481
7	249
0	618
46	620
0	789
0	1201
0	1181
0	815
0	866
0	1196
0	268
0	1044
0	869
127	814
6	735
1	839
0	1196
2	887
0	801
1	1027
0	1077
0	394
0	254
9	204
0	883
0	266
0	0
0	424
0	340
1	287
0	293
0	539
0	66
15	120
0	452
1	251
0	291
0	380
1	338
0	338
0	39
5	29
0	259
44	0
0	487
0	494
94	496
0	362
0	252
0	223
0	188
0	169
