UniqueCount	AmbigCount
0	8
0	0
0	827
1	1
0	26
0	20
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
14	68
0	51
0	7
1	8
0	7
0	4
13	8
0	194
0	32
0	66
427	113
0	82
6	290
0	7
0	0
8	11
0	0
26	869
2	275
4	278
0	198
0	161
0	135
68	37
0	52
0	0
0	0
0	1
0	4
0	8
1	1
0	10
0	0
0	2
3	24
11	39
0	10
0	14
0	1
22	288
135	18
0	284
0	215
0	290
0	209
0	221
7	163
0	173
0	233
0	184
13	79
0	95
7	66
34	40
1	56
0	363
19	77
1	8
0	0
0	15
0	0
0	0
0	11
0	11
9	9
0	12
1	10
0	12
0	0
19	985
109	1222
196	59690
2	0
3	609
0	1
1422	2974
16	3530
0	0
0	10
0	79
0	10
0	18
0	1
188	1721
0	2
0	0
0	136
5	47
5	25
11	68
0	52
0	0
0	28
26	28
0	31
0	4
4	5
0	5
0	9
1	10
1	8
0	8
1	4
0	6
17	101
5	2
1	4
4	0
0	2
0	0
0	10
54	22
0	23
326	93
0	23
0	24
0	33
0	32
0	18
0	95
0	57
0	46
2	29
5	24
10	18
3	27
4	17
0	9
0	15
0	4
0	0
9	0
83	6
2	5
359	190
0	152
0	42
114	133
4	76
0	649
5	639
0	610
0	614
1	571
0	572
0	630
4	538
0	654
0	573
17	382
3	5
1	139
8	48
5	74
11	1308
193	3017
103	2854
3	0
0	886
34	66
86	282
0	297
29	71
10	101
59	12
0	9
0	10
0	10
0	3
0	0
0	7
0	5
0	7
428	0
50	1656
149	1526
79	1623
8	1228
15	37
7	29
0	1
0	0
4	30
43	1409
0	1409
2	1
0	52
5	72
10	39
4	9
1	46
0	100
108	416
0	68
7	110
1	40
6	0
0	110
19	2
13	70
1	65
0	0
0	195
0	187
0	194
0	191
41	178
0	183
4	197
0	66
3	163
2	72
0	46
0	47
0	29
0	16
0	17
0	20
0	8
1	5
4	7
0	0
0	0
0	0
0	0
0	0
0	2
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	1540
0	1454
0	1399
109	840
11	775
1	653
1	305
623	0
4	2
1	2
2	8
0	5
0	7
7	0
0	1107
0	1107
0	1057
1	772
0	788
0	681
0	700
17	247
0	634
2	496
0	248
1	258
0	283
1	207
10	207
3	61
0	57
4	62
18	104
20	16
0	1
13	1
0	90
0	71
16	84
0	84
3	11
1	91
0	9
2	34
6	638
23	598
8	432
0	424
2	38
0	0
8	71
1	88
2	24
50	159
6	84
19	51
0	45
3	1
8	569
13	262
9	136
0	357
43	388
0	475
0	720
0	712
0	472
0	537
0	717
0	148
0	643
0	542
95	504
5	435
1	534
0	718
0	550
0	486
0	609
0	642
0	249
0	170
7	140
0	540
0	178
0	0
0	253
0	200
0	167
2	149
1	289
0	42
12	82
0	261
0	155
0	175
0	221
0	190
0	193
0	27
3	9
0	156
37	0
2	273
0	290
43	280
0	194
0	132
0	113
0	86
0	85
0	81
0	37
0	28
7	12
2	71
154	100
5	44
3	0
0	1124
45	1126
0	845
0	243
0	256
4	166
2	107
0	0
18	102
0	52
0	80
0	87
1	64
0	86
0	36
0	28
3	27
0	8
0	3
4	1061
32	987
3	984
2	1034
15	265
1	79
0	0
73	1819
5	1950
80	1122
10	2237
0	4195
0	2550
5	1543
2	2988
0	3321
0	1310
2	1654
0	606
2	685
23	560
2	729
0	1026
60	298
1	374
34	161
4	240
0	188
0	509
12	552
0	48
0	36
0	523
4	540
0	201
50	1306
1	864
68	1121
61	184
51	472
0	24
3	234
243	63
0	8
0	9
0	9
0	2
0	2
0	0
0	0
2	4
3	3
0	4
0	6
0	36
1	182
11	215
1	20
4	128
0	1
0	6
54	870
102	831
5	158
60	566
80	415
1	10
0	4
12	1277
0	1238
0	1204
0	1204
1	61
13	223
3	268
0	0
0	0
2	0
85	1351
8	994
1	412
498	184
98	7
0	0
200	0
227	0
0	219
0	222
0	202
0	225
8	229
0	210
0	227
7	50
1	26
0	225
0	31
0	192
0	59
0	23
1	34
0	224
0	158
0	20
0	202
1	184
7	10
4	17
1	177
4	30
5	15
0	23
2	36
0	66
0	53
0	52
0	25
0	20
0	7
0	2
1	7
0	7
0	6
0	3
0	5
0	5
0	3
0	2
108	1755
0	1671
0	1578
0	1594
5	1457
0	1375
4	1378
3	1378
0	501
33	2
12	268
1	2108
4	2099
46	700
60	269
1	0
0	1
0	7
0	1144
150	1069
0	320
2	936
0	1060
0	961
0	1135
0	1175
0	1091
0	1178
0	1070
26	59
