Gene,Irrel_kd_1,Irrel_kd_2,Irrel_kd_3,Mov10_kd_2,Mov10_kd_3,Mov10_oe_1,Mov10_oe_2,Mov10_oe_3
ENSG00000000003,4376,3645,2968,6178,3688,3343,3114,2079
ENSG00000000005,27,29,23,37,13,25,38,22
ENSG00000000419,1478,1288,884,2369,1340,1890,1766,1271
ENSG00000000457,508,405,357,934,571,646,591,354
ENSG00000000460,1394,1164,850,2172,1217,1183,1139,673
ENSG00000000938,1,1,0,2,0,0,0,0
ENSG00000000971,22,18,7,16,2,9,20,4
ENSG00000001036,3258,2599,1980,4600,2781,2938,3178,1664
ENSG00000001084,3001,2438,1967,4703,3021,2327,2415,1556
ENSG00000001167,3069,2415,1949,4609,2637,2634,2434,1371
ENSG00000001460,895,683,603,1340,827,1088,994,543
ENSG00000001461,1954,1675,1324,2876,1649,2195,2019,1133
ENSG00000001497,2984,2652,2009,4495,2789,3247,2960,1672
ENSG00000001561,1783,1514,1032,2601,1583,2006,1748,1244
ENSG00000001617,445,497,276,545,275,512,556,255
ENSG00000001626,0,320,4,426,108,324,0,0
ENSG00000001629,2023,1307,1340,2688,1678,1754,1661,1107
ENSG00000001630,3161,2636,2057,4398,2845,3189,3109,1976
ENSG00000001631,1901,1698,1362,2537,1852,2385,1831,1058
ENSG00000002016,1145,856,781,1607,950,1067,924,447
ENSG00000002079,2,16,1,2,0,2,14,0
ENSG00000002330,944,809,664,1003,591,661,842,390
ENSG00000002549,2060,1584,1395,2131,1150,1875,1677,909
ENSG00000002586,4412,3427,2954,6576,3854,4212,4368,2451
ENSG00000002587,20,23,22,30,25,26,30,53
ENSG00000002726,0,3,3,2,0,3,0,2
ENSG00000002745,8,9,3,10,3,12,8,7
ENSG00000002746,16,8,3,84,9,12,9,14
ENSG00000002822,599,565,424,1429,817,919,718,244
ENSG00000002834,3136,2768,2171,4321,2533,2958,2801,1583
ENSG00000002919,1116,924,715,1519,943,863,886,464
ENSG00000002933,21,19,13,8,3,6,11,4
ENSG00000003056,3395,2903,2557,7187,4075,3756,3390,1958
ENSG00000003096,462,851,647,1760,1044,913,833,416
ENSG00000003137,390,380,360,355,316,432,454,213
ENSG00000003147,321,299,198,296,247,357,533,183
ENSG00000003249,732,602,494,969,530,774,816,418
ENSG00000003393,1765,1657,946,2711,1680,1976,1984,1047
ENSG00000003400,351,450,364,596,283,559,465,288
ENSG00000003402,1141,1037,864,1481,970,1590,1367,799
ENSG00000003436,541,391,314,444,351,552,498,510
ENSG00000003509,993,851,648,1459,812,1089,1046,663
ENSG00000003756,4882,4010,3265,8911,5063,5176,4537,2900
ENSG00000003987,151,186,116,219,106,201,151,65
ENSG00000003989,1532,1337,984,2259,1486,1842,1684,1138
ENSG00000004059,3676,3144,2297,4712,2993,3006,3173,1698
ENSG00000004139,342,338,279,480,355,250,314,127
ENSG00000004142,5699,4806,3683,8183,4672,5000,4673,2279
ENSG00000004399,945,769,800,2044,1214,2068,1969,980
ENSG00000004455,8639,6711,6993,10989,6789,6582,7690,3903
ENSG00000004468,6,2,0,15,13,4,2,5
ENSG00000004478,9866,9761,8631,14548,10522,10499,11194,6139
ENSG00000004487,9235,8325,6276,13771,7704,9487,9098,4801
ENSG00000004534,3490,3310,2893,6124,3721,4362,4127,2381
ENSG00000004660,553,462,458,908,552,591,562,312
ENSG00000004700,3386,2817,2206,4512,2496,3285,2939,1939
ENSG00000004766,1058,1183,551,1812,1302,866,851,691
ENSG00000004776,3,4,11,12,7,6,4,7
ENSG00000004777,718,447,823,618,324,435,852,450
ENSG00000004779,2199,1736,1499,3062,1799,2005,1790,1142
ENSG00000004799,146,121,93,144,81,243,194,194
ENSG00000004809,30,14,8,9,6,17,17,4
ENSG00000004838,34,24,25,39,73,33,60,20
ENSG00000004846,8,11,6,10,7,15,4,14
ENSG00000004848,8,11,6,11,7,11,15,9
ENSG00000004864,2722,2651,1989,4927,2816,2760,2114,1616
ENSG00000004866,949,903,616,1534,1041,1022,898,456
ENSG00000004897,7921,7057,5316,10432,6033,7434,6832,3935
ENSG00000004939,3,2,7,20,2,6,6,4
ENSG00000004948,16,5,9,24,5,19,16,7
ENSG00000004961,1544,1382,1014,2647,1431,1621,1484,967
ENSG00000004975,2221,1770,1555,2838,1865,2254,2137,1058
ENSG00000005001,1,1,0,3,1,0,3,0
ENSG00000005007,5474,5278,4020,9256,5411,6249,5645,2860
ENSG00000005020,2081,2125,1515,3831,2426,2618,2531,1844
ENSG00000005022,11049,9334,8089,17335,9679,11106,11195,5280
ENSG00000005059,1082,837,686,1491,833,1305,1101,744
ENSG00000005073,783,683,516,876,526,637,614,343
ENSG00000005075,1190,878,788,1539,942,950,921,408
ENSG00000005100,3310,2888,2208,5574,3252,2915,2657,1431
ENSG00000005102,48,53,46,22,27,30,46,20
ENSG00000005108,23,12,43,44,6,27,48,37
ENSG00000005156,2862,4090,1879,3859,2999,3612,3472,2971
ENSG00000005175,2850,2183,1869,4353,2502,2477,2344,1474
ENSG00000005187,72,86,46,92,85,202,122,112
ENSG00000005189,660,510,379,1297,809,788,580,289
ENSG00000005194,1487,1247,1010,2218,1305,1494,1224,799
ENSG00000005206,1208,1122,893,1591,1024,1248,1301,604
ENSG00000005238,105,136,106,122,78,187,174,74
ENSG00000005243,11,4,5,32,57,22,175,10
ENSG00000005249,1477,1219,1104,944,592,1032,1172,731
ENSG00000005302,1284,1111,806,1769,1066,1467,1383,1078
ENSG00000005339,3913,3778,2804,7225,3618,3448,3151,1583
ENSG00000005379,7,20,2,5,11,3,3,1
ENSG00000005381,0,0,0,0,0,0,0,0
ENSG00000005421,0,1,0,0,1,0,1,0
ENSG00000005436,1603,1316,1155,2911,1543,2136,1647,1158
ENSG00000005448,873,700,561,866,584,809,716,363
ENSG00000005469,506,445,348,855,527,559,465,308
ENSG00000005471,224,115,91,107,95,235,262,229
ENSG00000005483,2126,1919,1669,4752,2547,2744,2449,1648
ENSG00000005486,1076,865,571,2009,1091,1441,1411,690
ENSG00000005513,114,139,100,206,119,214,237,107
ENSG00000005700,3224,3026,2396,5370,3082,3551,3331,2349
ENSG00000005801,1583,1295,980,2534,1429,1673,1432,906
ENSG00000005810,4825,4727,3380,9323,5216,4379,3452,2300
ENSG00000005812,5201,3317,2804,7735,4361,4869,3726,2508
ENSG00000005844,13,11,4,28,25,34,22,8
ENSG00000005882,1233,899,814,1426,812,964,970,446
ENSG00000005884,359,391,202,537,535,668,495,408
ENSG00000005889,3360,3508,2012,6193,3708,2639,2964,1516
ENSG00000005893,2098,1692,1334,5278,3059,2953,2439,1645
ENSG00000005961,193,231,183,162,146,181,271,117
ENSG00000005981,7,4,6,8,5,7,4,3
ENSG00000006007,2790,2039,1743,4308,2366,2623,2064,1150
ENSG00000006015,534,522,388,540,325,564,608,364
ENSG00000006016,41,9,11,54,39,127,99,69
ENSG00000006025,459,396,428,556,352,536,512,262
ENSG00000006042,2299,1818,1486,2669,1654,1976,1873,800
ENSG00000006047,37,29,15,55,20,44,40,21
ENSG00000006059,0,0,0,1,1,0,0,0
ENSG00000006062,737,630,443,946,546,535,497,247
ENSG00000006071,48,68,43,87,39,394,66,150
ENSG00000006116,3,3,2,6,1,8,6,2
ENSG00000006118,1140,1225,762,1684,1072,1567,1162,781
ENSG00000006125,13851,11185,9325,19505,11221,13988,11008,6790
ENSG00000006128,57,49,40,82,32,75,50,41
ENSG00000006194,1415,1118,938,1801,1113,1346,1297,742
ENSG00000006210,4,27,5,6,4,7,13,40
ENSG00000006282,890,618,551,770,701,698,726,422
ENSG00000006283,215,191,139,295,184,318,401,212
ENSG00000006327,268,212,206,689,413,410,393,232
ENSG00000006377,278,300,209,353,234,279,293,212
ENSG00000006432,939,722,601,1332,863,1336,1167,676
ENSG00000006451,2290,1792,1193,2979,1923,2181,2146,1497
ENSG00000006453,1824,1742,1418,2210,1513,2044,2001,1348
ENSG00000006459,2094,2542,1386,3779,1958,3029,2008,1650
ENSG00000006468,242,184,127,274,167,383,339,216
ENSG00000006530,3420,2921,2381,4539,3005,3169,2836,1810
ENSG00000006534,9,19,30,27,10,32,35,34
ENSG00000006555,9,10,7,12,6,7,3,5
ENSG00000006576,1876,1622,1886,3167,2126,2016,2153,1289
ENSG00000006606,4,2,5,5,1,5,2,1
ENSG00000006607,2032,1953,1368,3392,1752,2008,1875,1228
ENSG00000006611,24,36,22,279,173,132,570,112
ENSG00000006625,2227,1821,1399,2774,1632,2247,2089,1338
ENSG00000006634,1969,1698,1228,2762,1641,1725,1676,1148
ENSG00000006638,86,80,50,55,38,93,103,50
ENSG00000006652,3603,2802,2437,7611,4216,4975,4332,2543
ENSG00000006659,2,1,2,6,1,2,4,0
ENSG00000006695,734,647,481,1212,628,737,650,354
ENSG00000006704,1284,1303,984,1923,1109,1298,1644,1008
ENSG00000006712,3212,2851,2054,5162,2741,3086,3005,1787
ENSG00000006715,2187,1522,1237,3257,1843,2102,1672,1193
ENSG00000006740,613,627,474,1050,647,905,709,529
ENSG00000006744,3282,2593,1828,4765,2879,3462,2914,1686
ENSG00000006747,81,53,48,115,60,149,91,69
ENSG00000006756,22,4,7,33,6,12,28,7
ENSG00000006757,564,516,428,881,478,585,594,273
ENSG00000006788,0,1,0,1,0,0,1,0
ENSG00000006831,5934,6329,3559,10032,5128,5255,5029,2831
ENSG00000006837,154,182,114,187,101,256,196,121
ENSG00000007001,0,0,0,1,0,0,0,0
ENSG00000007038,0,0,0,0,0,0,1,0
ENSG00000007047,1235,1189,1020,2070,1079,2165,1801,869
ENSG00000007062,24,36,7,11,7,14,16,5
ENSG00000007080,2596,2283,1633,3774,2194,2382,2125,1089
ENSG00000007129,5,4,1,3,2,4,5,0
ENSG00000007168,6756,6233,4451,7884,4578,5898,5527,3794
ENSG00000007171,126,108,100,112,84,201,168,82
ENSG00000007174,5,2,0,8,6,4,4,2
ENSG00000007202,8893,8048,6401,13553,8607,9420,7915,4963
ENSG00000007216,0,0,1,0,1,0,0,0
ENSG00000007237,391,254,201,362,192,301,293,287
ENSG00000007255,205,195,122,311,195,363,365,176
ENSG00000007264,93,96,103,127,83,110,177,61
ENSG00000007306,1,1,1,1,0,0,0,0
ENSG00000007312,0,1,11,3,1,2,11,4
ENSG00000007314,66,50,84,155,29,227,140,50
ENSG00000007341,1018,699,596,1415,733,851,774,633
ENSG00000007350,61,80,53,55,36,91,132,54
ENSG00000007372,1800,1232,914,1957,1075,1664,1782,882
ENSG00000007376,1076,768,668,1421,796,629,629,262
ENSG00000007384,186,183,139,279,240,334,361,188
ENSG00000007392,1795,1406,1197,2823,1525,1620,1683,957
ENSG00000007402,261,194,167,390,241,356,344,169
ENSG00000007516,177,129,122,153,142,196,212,56
ENSG00000007520,1271,1070,873,1820,962,885,913,500
ENSG00000007541,1155,970,672,635,428,1146,1482,779
ENSG00000007545,2255,1397,1245,2864,1714,1629,1773,647
ENSG00000007866,652,597,419,820,508,645,695,313
ENSG00000007908,0,0,0,2,0,1,1,0
ENSG00000007923,4852,3917,2835,7477,4336,4183,3255,1632
ENSG00000007933,7,5,2,6,2,5,5,2
ENSG00000007944,614,568,414,1045,586,838,781,437
ENSG00000007952,0,0,0,0,2,1,0,1
ENSG00000007968,2118,1927,1556,2148,1152,1628,1764,995
ENSG00000008018,6248,5213,4079,8716,5093,5785,5651,3381
ENSG00000008056,37,55,19,68,18,58,35,32
ENSG00000008083,2951,2391,1873,3840,2431,3270,3021,1769
ENSG00000008086,896,793,688,1006,540,1500,972,681
ENSG00000008118,2,4,5,5,0,4,12,4
ENSG00000008128,1050,778,695,2043,1021,1310,1310,603
ENSG00000008130,4151,3273,3041,7120,3804,4025,3603,1687
ENSG00000008196,0,0,0,0,0,0,0,0
ENSG00000008197,0,0,0,0,0,0,0,0
ENSG00000008226,4,5,0,2,4,4,6,340
ENSG00000008256,1419,1208,851,1490,1120,1308,1438,583
ENSG00000008277,766,986,570,1246,753,1132,677,512
ENSG00000008282,1721,1460,1090,2751,1702,1958,1952,1232
ENSG00000008283,572,434,360,558,395,513,525,282
ENSG00000008294,7885,7379,5560,13848,8031,11200,9699,6486
ENSG00000008300,472,361,222,821,474,356,331,298
ENSG00000008311,661,510,408,1085,630,843,747,516
ENSG00000008323,16,5,5,5,5,10,5,1
ENSG00000008324,816,673,531,909,553,713,770,419
ENSG00000008382,360,339,189,473,268,301,356,208
ENSG00000008394,1262,928,957,1469,1334,1370,1202,744
ENSG00000008405,1346,1258,1099,2392,1289,1718,1710,956
ENSG00000008438,0,0,0,0,0,0,0,0
ENSG00000008441,773,686,602,934,546,743,905,411
ENSG00000008513,580,712,419,1068,625,943,1039,669
ENSG00000008516,5,7,7,16,16,8,13,15
ENSG00000008517,68,50,41,56,46,97,104,72
ENSG00000008710,1976,1565,1626,3007,1746,1512,1414,916
ENSG00000008735,1312,1174,933,1941,1137,1290,1233,588
ENSG00000008838,4553,4041,3238,6291,3825,3993,3903,2206
ENSG00000008853,504,279,308,581,220,323,381,135
ENSG00000008869,1768,1427,1332,2809,1456,2318,1700,1317
ENSG00000008952,4067,3438,2535,6709,3968,4353,3904,2472
ENSG00000008988,7873,6784,5054,12048,7247,7961,8133,4396
ENSG00000009307,44538,37737,29044,60693,35104,33966,31153,22373
ENSG00000009335,8815,7822,6021,13639,7737,8084,7454,4869
ENSG00000009413,1836,1758,1299,3268,2184,2551,2322,1678
ENSG00000009694,362,93,56,89,53,144,109,63
ENSG00000009709,147,111,116,146,106,148,136,62
ENSG00000009724,30,17,12,39,28,17,26,7
ENSG00000009765,8,8,2,19,2,11,7,11
ENSG00000009780,651,433,368,748,450,735,560,328
ENSG00000009790,1,0,4,0,0,0,6,0
ENSG00000009830,1537,1291,1083,2435,1341,1145,1010,662
ENSG00000009844,3920,3505,2513,6303,3517,3976,3644,2254
ENSG00000009950,292,241,249,363,248,435,411,193
ENSG00000009954,8523,7454,5744,11392,6622,7883,6917,4429
ENSG00000010017,2898,2503,1775,3987,2208,3066,2686,1603
ENSG00000010030,40,36,29,257,134,32,28,16
ENSG00000010072,1589,1391,957,2207,1193,1685,1384,971
ENSG00000010165,1426,885,805,2115,1164,1128,1238,632
ENSG00000010219,1373,1159,915,1535,1016,1258,1203,585
ENSG00000010244,11533,9426,7809,20368,11608,11638,12576,6165
ENSG00000010256,3187,2608,2053,4771,2627,3247,3160,1713
ENSG00000010270,2134,1783,1363,2609,1556,1854,1731,1068
ENSG00000010278,1177,1034,797,1310,903,1350,1218,636
ENSG00000010282,3,6,3,23,11,3,2,2
ENSG00000010292,12766,9073,7366,20042,11558,12034,10084,7878
ENSG00000010295,1604,1424,1074,2633,1506,1394,1361,713
ENSG00000010310,58,442,61,66,57,168,291,104
ENSG00000010318,320,248,221,307,196,448,434,227
ENSG00000010319,58,84,49,100,43,78,108,54
ENSG00000010322,2741,2219,1851,4475,2528,3582,3278,1652
ENSG00000010327,17,19,8,2,2,1,5,28
ENSG00000010361,1373,1216,1021,1670,1037,1456,1389,839
ENSG00000010379,38,52,65,60,93,77,40,35
ENSG00000010404,4094,3455,2394,3953,2549,2757,2589,1443
ENSG00000010438,0,0,0,0,0,0,0,1
ENSG00000010539,896,778,629,1507,906,1222,1150,769
ENSG00000010610,1,10,5,1,6,6,16,1
ENSG00000010626,211,185,133,246,167,263,281,164
ENSG00000010671,12,20,13,17,20,31,40,17
ENSG00000010704,49,31,48,37,56,43,50,37
ENSG00000010803,1607,1641,1328,2593,1580,2254,1949,850
ENSG00000010810,3739,3198,2454,4560,2861,3665,3626,1995
ENSG00000010818,1922,1309,548,2553,1438,1803,1381,1438
ENSG00000010932,0,1,0,2,0,0,0,0
ENSG00000011007,5450,4262,3393,8037,4516,4258,3833,2088
ENSG00000011009,1874,1395,1056,2484,1318,1752,1795,779
ENSG00000011021,1246,1066,837,2288,1219,1224,1092,605
ENSG00000011028,131,213,843,403,380,1419,801,894
ENSG00000011052,874,828,582,1739,927,775,1080,319
ENSG00000011083,0,0,0,0,0,0,0,0
ENSG00000011105,1098,974,637,1530,869,1050,746,445
ENSG00000011114,1711,1797,1318,2988,2172,1518,1545,1108
ENSG00000011132,459,408,334,587,414,447,492,280
ENSG00000011143,1152,937,836,1270,793,1269,1031,533
ENSG00000011198,835,571,476,1282,630,691,675,330
ENSG00000011201,790,628,523,1276,758,868,847,579
ENSG00000011243,3398,2535,2160,5599,3264,3868,3629,2133
ENSG00000011258,2081,1952,1607,3288,1935,2268,2126,1293
ENSG00000011260,3308,2562,2239,4443,2579,2944,2584,1528
ENSG00000011275,2478,2213,1714,3128,1950,1993,1997,1199
ENSG00000011295,2213,1823,1356,3582,2069,2699,2614,1530
ENSG00000011304,19121,15928,13462,27132,15405,17434,16407,10447
ENSG00000011332,684,714,482,1015,564,701,666,327
ENSG00000011347,197,206,135,310,252,232,256,118
ENSG00000011376,2281,1956,1341,3685,2306,2312,1844,1013
ENSG00000011405,3896,3092,2436,7508,4864,3633,2747,2411
ENSG00000011422,396,365,300,377,248,562,515,253
ENSG00000011426,6034,5609,3871,7471,4814,5742,5774,2839
ENSG00000011451,3628,3002,2087,4589,2895,2835,2680,1255
ENSG00000011454,3235,2428,2300,4643,2522,2942,2295,1688
ENSG00000011465,89,47,7,45,8,13,17,4
ENSG00000011478,493,444,388,644,374,655,501,335
ENSG00000011485,6831,6031,4665,8027,5081,5790,5995,3164
ENSG00000011523,1321,1011,593,1726,1194,996,1135,544
ENSG00000011566,1159,1202,1121,2102,1604,1780,1254,795
ENSG00000011590,0,0,0,0,0,2,0,1
ENSG00000011600,0,0,0,0,0,0,0,0
ENSG00000011638,253,257,201,411,239,342,354,164
ENSG00000011677,0,0,0,1,0,0,1,0
ENSG00000012048,4858,3862,3237,5092,2749,4648,4289,2591
ENSG00000012061,1623,1353,1034,2252,1416,1564,1413,712
ENSG00000012124,10,12,4,10,2,8,4,8
ENSG00000012171,84,113,89,200,95,141,166,51
ENSG00000012174,2393,2087,1695,3141,1903,2352,2053,1363
ENSG00000012211,386,311,281,466,297,431,451,229
ENSG00000012223,0,0,0,1,0,1,0,0
ENSG00000012232,1473,1222,1096,2350,1466,1768,1352,966
ENSG00000012504,8,12,7,56,16,3,1,2
ENSG00000012660,5009,4246,3206,5825,3627,5280,4824,2994
ENSG00000012779,47,20,45,29,50,101,117,39
ENSG00000012817,8,5,6,8,6,8,3,8
ENSG00000012822,1420,1108,630,2109,1041,1430,1363,816
ENSG00000012963,2526,2382,1862,3365,2128,2560,2349,1806
